Precinct Code,Precinct,County,Number of People 18+,Number of Registered Voters,% of Registered Voters
96,Rochester W1 P1,Olmsted,"1,500",928,62
164,Rochester W4 P6,Olmsted,828,513,62
166,Rochester W4 P7,Olmsted,"2,544",1668,66
15,Claremont,Dodge,392,261,67
212,Rochester Twp P-3,Olmsted,6,4,67
32,Dodge Center P-2,Dodge,488,336,69
52,Kasson P-3,Dodge,"1,180",843,71
106,Rochester W1 P6,Olmsted,645,462,72
126,Rochester W2 P3,Olmsted,"2,567",1838,72
85,West Concord,Dodge,622,468,75
114,Rochester W1 P10,Olmsted,"1,484",1110,75
208,Rochester W6 P8,Olmsted,"1,133",868,77
30,Dodge Center P-1,Dodge,"1,556",1206,78
40,Hayfield,Dodge,"1,027",806,78
170,Rochester W4 P9,Olmsted,367,293,80
136,Rochester W2 P8,Olmsted,"2,248",1825,81
130,Rochester W2 P5,Olmsted,"1,562",1274,82
104,Rochester W1 P5,Olmsted,"1,900",1580,83
98,Rochester W1 P2,Olmsted,"1,424",1194,84
100,Rochester W1 P3,Olmsted,"2,341",1966,84
225,Stewartville,Olmsted,"4,831",4035,84
102,Rochester W1 P4,Olmsted,731,628,86
108,Rochester W1 P7,Olmsted,"2,318",1983,86
168,Rochester W4 P8,Olmsted,"1,530",1317,86
20,Claremont Twp.,Dodge,318,277,87
51,Kasson P-2,Dodge,"3,347",2902,87
118,Rochester W1 P12,Olmsted,414,360,87
132,Rochester W2 P6,Olmsted,"1,022",898,88
134,Rochester W2 P7,Olmsted,"2,363",2092,89
25,Concord Twp.,Dodge,421,378,90
45,Hayfield Twp.,Dodge,364,326,90
70,Ripley Twp.,Dodge,131,118,90
128,Rochester W2 P4,Olmsted,"1,635",1474,90
55,Mantorville,Dodge,877,802,91
65,Milton Twp.,Dodge,571,519,91
110,Rochester W1 P8,Olmsted,"1,292",1177,91
213,Rochester Twp P-4,Olmsted,54,49,91
220,Salem Twp.,Olmsted,854,779,91
5,Byron,Olmsted,"4,356",4022,92
11,Cascade Twp. P-2A,Olmsted,206,190,92
215,Rock Dell Twp.,Olmsted,521,479,92
5,Ashland Twp.,Dodge,246,229,93
75,Vernon Twp.,Dodge,490,454,93
50,Kasson P-1,Dodge,354,338,95
80,Wasioja Twp.,Dodge,642,608,95
35,Ellington Twp.,Dodge,171,165,96
112,Rochester W1 P9,Olmsted,"1,513",1458,96
60,Mantorville Twp.,Dodge,"1,371",1332,97
10,Canisteo Twp.,Dodge,467,458,98
55,High Forest Twp.,Olmsted,755,739,98
60,Kalmar Twp.,Olmsted,838,819,98
90,Westfield Twp.,Dodge,304,300,99
116,Rochester W1 P11,Olmsted,"1,218",1203,99
210,Rochester Twp P-1,Olmsted,"1,438",1448,100
12,Cascade Twp. P-3,Olmsted,96,104,100
