,Unnamed: 0,Precinct,County_City,Perc_Turnout_2020,Perc_of_Registered_Voters,Ratio_Pers_Total,Perc_of_Voters_in_District _2020,Perc_Registration_Increase_2020_2022
0,0,Ashland Twp.,Dodge County,93,93,69,0.43772641,3
1,1,Byron,Olmsted County (non-Rochester),90,92,76,7.644040021,5
2,2,Canisteo Twp.,Dodge County,95,98,82,0.922891151,1
3,3,Claremont,Dodge County,87,67,72,0.489477316,2
4,4,Claremont Twp.,Dodge County,95,87,86,0.549853372,2
5,5,Concord Twp.,Dodge County,94,90,73,0.774107297,2
6,6,Dodge Center P-1,Dodge County,90,78,77,2.259789546,2
7,7,Dodge Center P-2,Dodge County,88,69,82,0.595135415,5
8,8,Ellington Twp.,Dodge County,95,96,82,0.34284975,2
9,9,Hayfield,Dodge County,90,78,83,1.502932551,4
10,10,Hayfield Twp.,Dodge County,94,90,82,0.644730033,1
11,11,High Forest Twp.,Olmsted County (non-Rochester),92,98,79,1.416681042,3
12,12,Kalmar Twp.,Olmsted County (non-Rochester),92,98,81,1.612903226,3
13,13,Kasson P-1,Dodge County,92,95,78,0.657667759,3
14,14,Kasson P-2,Dodge County,91,87,80,5.558909781,4
15,15,Kasson P-3,Dodge County,87,71,78,1.509401415,2
16,16,Mantorville,Dodge County,95,91,78,1.599965499,3
17,17,Mantorville Twp.,Dodge County,94,97,79,2.699672244,4
18,18,Milton Twp.,Dodge County,93,91,86,1.015611523,3
19,19,Ripley Twp.,Dodge County,91,90,91,0.226410212,0
20,20,Rochester Twp P-1,Rochester (Olmsted County),94,100,64,2.443074004,4
21,21,Rochester W1 P10,Rochester (Olmsted County),86,75,69,1.882439193,12
22,22,Rochester W1 P11,Rochester (Olmsted County),91,99,65,2.371916509,3
23,23,Rochester W1 P12,Rochester (Olmsted County),89,87,71,2.195100914,5
24,24,Rochester W1 P2,Rochester (Olmsted County),94,84,68,1.886751768,3
25,25,Rochester W1 P4,Rochester (Olmsted County),90,86,69,2.233914093,3
26,26,Rochester W1 P5,Rochester (Olmsted County),86,83,67,1.112644471,4
27,27,Rochester W1 P7,Rochester (Olmsted County),92,86,65,2.212351216,4
28,28,Rochester W1 P8,Rochester (Olmsted County),93,91,69,2.544419527,3
29,29,Rochester W1 P9,Rochester (Olmsted County),91,96,68,0.935828877,3
30,30,Rochester W2 P3,Rochester (Olmsted County),92,72,64,1.500776264,5
31,31,Rochester W2 P4,Rochester (Olmsted County),91,90,61,2.020441608,3
32,32,Rochester W2 P5,Rochester (Olmsted County),90,82,59,1.386493014,7
33,33,Rochester W2 P6,Rochester (Olmsted County),85,88,68,1.744436778,9
34,34,Rochester W4 P8,Rochester (Olmsted County),84,86,61,1.481369674,6
35,35,Rochester W4 P9,Rochester (Olmsted County),82,80,74,0.823701915,10
36,36,Rock Dell Twp.,Olmsted County (non-Rochester),95,92,80,0.96170433,2
37,37,Salem Twp.,Olmsted County (non-Rochester),94,91,78,1.576246334,3
38,38,Stewartville,Olmsted County (non-Rochester),88,84,76,7.327065724,4
39,39,Vernon Twp.,Dodge County,95,93,81,0.933672589,2
40,40,Wasioja Twp.,Dodge County,92,95,86,1.196739693,3
41,42,Westfield Twp.,Dodge County,94,99,81,0.592979127,1
